datetime,wavelengths,mean,std,max,min
20200102075743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.957761, 0.509498, 45.67245, 40.454197, 77.64922, 89.0601, 75.01783, 1.941615, 2.511808, 3.141901, 13.539634]","[2.215659, 0.276316, 15.719757, 12.199205, 23.173359, 24.731268, 15.763479, 2.399368, 3.03415, 1.051521, 4.210352]","[17.151932, 3.556224, 92.39661, 72.25283, 142.90987, 158.06322, 107.96073, 20.28078, 25.379776, 6.945624, 23.598022]","[0.0, 0.0, 2.66163, 8.836678, 7.176248, 10.670936, 16.863937, 0.0, 0.0, 0.241225, 0.888305]"
20200102085743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[2.509796, 0.560817, 46.71704, 41.1611, 79.14377, 90.51654, 75.6059, 2.453016, 3.173115, 3.147804, 13.599484]","[2.5122, 0.315067, 16.245949, 12.662696, 23.95329, 25.48409, 16.020542, 2.579982, 3.276395, 1.050813, 4.231309]","[17.895647, 3.556224, 102.40941, 76.20335, 156.8523, 170.95728, 112.373726, 20.28078, 26.15898, 7.020486, 26.49467]","[0.0, 0.0, 2.534886, 8.732716, 6.766176, 10.004003, 16.706333, 0.0, 0.0, 0.216271, 0.617952]"
20200102095744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.124596, 0.619436, 47.633987, 41.754917, 80.508446, 91.75597, 76.12036, 3.053758, 3.939906, 3.149771, 13.637225]","[2.781874, 0.354163, 16.810537, 13.1149, 24.8231, 26.309713, 16.3247, 2.748662, 3.504599, 1.049568, 4.258546]","[16.989244, 3.556224, 110.14081, 81.19347, 167.10408, 181.4059, 115.99868, 20.28078, 25.04583, 7.070394, 28.657501]","[0.0, 0.0, 2.534886, 8.732716, 6.766176, 10.226314, 16.863937, 0.0, 0.0, 0.232907, 0.656574]"
20200102105743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.514084, 0.674539, 48.31543, 42.208035, 81.456, 92.673225, 76.44419, 3.49011, 4.47556, 3.148818, 13.661137]","[2.896558, 0.380696, 17.277136, 13.476754, 25.533474, 27.044851, 16.629297, 2.854679, 3.64184, 1.050121, 4.296636]","[13.29391, 3.556224, 114.83035, 84.41626, 173.46017, 188.07523, 118.362785, 20.28078, 23.98834, 7.028804, 29.661673]","[0.0, 0.0, 2.408142, 8.732716, 6.356106, 9.33707, 16.233513, 0.0, 0.0, 0.216271, 0.77244]"
20200102115743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.607593, 0.698712, 48.62167, 42.41381, 81.82881, 93.12166, 76.55857, 3.624447, 4.640364, 3.144494, 13.652366]","[2.850404, 0.38757, 17.562756, 13.684737, 25.969917, 27.564978, 16.902447, 2.850075, 3.640705, 1.052998, 4.338534]","[13.967901, 3.556224, 117.238495, 85.455864, 174.48535, 189.63141, 119.15082, 20.28078, 24.127483, 6.987213, 29.23683]","[0.0, 0.0, 2.027909, 8.732716, 5.740999, 9.114757, 15.603084, 0.0, 0.0, 0.17468, 0.733818]"
20200102135743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[2.938392, 0.627204, 47.913124, 41.97937, 80.751656, 92.114456, 76.035706, 3.173989, 4.009117, 3.124628, 13.575854]","[2.454291, 0.336878, 17.373299, 13.530388, 25.780386, 27.570595, 17.236895, 2.845754, 3.564342, 1.063941, 4.434964]","[14.014384, 3.556224, 108.87337, 80.98554, 163.8235, 176.51505, 115.84107, 20.28078, 23.877026, 6.87076, 26.26294]","[0.0, 0.0, 1.901164, 8.732716, 5.330927, 8.225512, 14.342229, 0.0, 0.0, 0.166362, 0.502086]"
20200102145743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[2.238084, 0.567574, 47.153564, 41.487324, 79.622795, 90.98003, 75.60356, 2.518314, 3.151616, 3.11385, 13.512171]","[2.0773, 0.299985, 17.023758, 13.243377, 25.292322, 27.15093, 17.272303, 2.630481, 3.296257, 1.069248, 4.46924]","[12.643159, 3.406219, 100.12801, 76.61919, 155.212, 165.84412, 112.05851, 18.61158, 22.26296, 6.82917, 24.486328]","[0.0, 0.0, 1.901164, 8.420834, 5.740999, 8.892446, 14.499835, 0.0, 0.0, 0.13309, 0.656574]"
20200102155744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.641489, 0.517539, 46.284935, 40.92635, 78.33969, 89.61873, 75.07294, 1.995901, 2.453888, 3.10427, 13.437222]","[1.806078, 0.269381, 16.64514, 12.909448, 24.750204, 26.628853, 17.21119, 2.497541, 3.12869, 1.073004, 4.484308]","[11.574068, 3.537931, 90.622185, 72.66867, 143.1149, 154.95087, 108.11834, 18.15255, 21.817701, 6.787578, 24.447706]","[0.0, 0.0, 1.901164, 8.524796, 5.330927, 8.447824, 14.342229, 0.0, 0.0, 0.158044, 0.57933]"
20200102165743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.221392, 0.47956, 45.492874, 40.42741, 77.19226, 88.53584, 74.56811, 1.559056, 1.89867, 3.095371, 13.375193]","[1.679739, 0.248626, 16.344017, 12.632036, 24.311829, 26.224531, 17.10061, 2.376284, 2.995625, 1.074044, 4.488162]","[12.24806, 2.590336, 84.158226, 67.574585, 146.19043, 157.6186, 103.54774, 17.19276, 20.955011, 6.77926, 24.022865]","[0.0, 0.0, 2.154653, 8.732716, 5.740999, 8.892446, 14.972655, 0.0, 0.0, 0.116454, 0.540708]"
20200102175744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.972534, 0.455448, 44.951077, 40.05563, 76.38035, 87.71271, 74.23984, 1.231275, 1.511257, 3.090756, 13.339112]","[1.654535, 0.236447, 16.116648, 12.40705, 23.96882, 25.877777, 16.965725, 2.229339, 2.83787, 1.073047, 4.481006]","[11.225451, 3.259872, 81.75008, 63.00031, 142.90987, 154.06163, 101.656456, 17.23449, 21.261127, 6.65449, 23.520779]","[0.0, 0.0, 1.77442, 8.420834, 5.535963, 8.670135, 14.657441, 0.0, 0.0, 0.149726, 0.57933]"
